"Disparities in Perimyotis subflavus body mass between cave and culvert hibernacula in Georgia, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrall, E.A.1,2, S. Perea1, K.M. Morris2, P.E. Pattavina3, B.J. Irwin4, J. Hepinstall-Cymerman1, and S.B. Castleberry1*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1Warnell School of Forestry and Natural Resources, University of Georgia, 180 E Green Street, Athens, GA 30602, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Wildlife Conservation Section, Georgia Department of Natural Resources, Highway 278 SE Social Circle, GA 30025, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3United States Fish and Wildlife Service, Ecological Services, 355 East Hancock Avenue Room 320, Athens, GA, 30601, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4U.S. Geological Survey, Georgia Cooperative Fish & Wildlife Unit, Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30602, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_num,site,date,type,timing,num_boxes,length_m,width_m,height_m,Latitude,Longitide,utmN,roost,species,age,sex,repro_status,mass,FA,Pd_area,Pd_known,vis_WNS,bat_temp,WDI,band_num,band_type,year,mass_loss,prop.loss
59,127,Buck Creek Culvert,3/18/2022,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,HC,PESU,A,M,NR,6.06,34,Pd_pos,,No,11.3,0,GA2607,Recap,2022,-0.42,0.064814815
96,238,Red Creek Culvert,3/16/2022,Culvert,Late,4,64.9224,2.7432,2.7432,33.08629498,-83.9924132,3664836.993,SW,PESU,A,M,NR,5.48,34,Pd_pos,Pd_pos,No,12.8,0,GA0525,Recap,2022,-0.43,0.072758037
145,NA,Black Diamond Tunnel,2/27/2020,Cave,Late,NA,NA,NA,NA,34.885789,-83.291323,3862772.345,,PESU,A,M,NR,6,34,WNS,WNS,No,NA,1P,GA0738,Recap,2020,-0.5,0.076923077
47,127,Buck Creek Culvert,2/23/2021,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,HC,PESU,A,M,NR,5.02,34.16,Pd_pos,,No,12.4,0P,GA0922,Recap,2021,-0.48,0.087272727
12,372,Emanuel County Creek Culvert,3/16/2022,Culvert,Late,3,86.868,3.048,2.4384,32.407955,-82.330166,3586433.465,HC,PESU,A,M,NR,5.55,34,Pd_neg,,No,20.6,0P,GA2199,Recap,2022,-0.54,0.088669951
19,372,Emanuel County Creek Culvert,3/16/2022,Culvert,Late,3,86.868,3.048,2.4384,32.407955,-82.330166,3586433.465,SW,PESU,A,M,NR,5.09,32,Pd_neg,,No,17.3,0P,GA2328,Recap,2022,-0.5,0.089445438
112,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,HC,PESU,A,M,NR,5.14,33,Pd_pos,Pd_pos,No,NA,0P,GA2322,Recap,2022,-0.51,0.090265487
151,NA,Black Diamond Tunnel,2/27/2020,Cave,Late,NA,NA,NA,NA,34.885789,-83.291323,3862772.345,,PESU,A,M,NR,5,33,WNS,WNS,No,NA,0,GA0750,Recap,2020,-0.5,0.090909091
15,372,Emanuel County Creek Culvert,3/16/2022,Culvert,Late,3,86.868,3.048,2.4384,32.407955,-82.330166,3586433.465,SW,PESU,A,M,NR,5.63,33,Pd_neg,,No,18.6,0,GA2209,Recap,2022,-0.57,0.091935484
65,137,I-20 Unoccupied Augusta Site Pair,3/22/2021,Culvert,Late,1,116.129,1.8288,1.524,33.483587,-82.191961,3705534.364,CK,PESU,A,M,NR,5.46,32.66,Pd_pos,,No,14.1,0P,GA2057,Recap,2021,-0.59,0.097520661
5,115,Little River Culvert,3/3/2020,Culvert,Late,3,71.0184,3.048,3.048,33.61134,-83.70878,3722352.835,,PESU,A,M,NR,4.5,33,Pd_neg,Pd_neg,No,NA,0,GA0513,Recap,2020,-0.5,0.1
109,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,HC,PESU,A,M,NR,5.31,34.5,Pd_pos,Pd_pos,No,17.9,0,GA2260,Recap,2022,-0.59,0.1
16,372,Emanuel County Creek Culvert,3/16/2022,Culvert,Late,3,86.868,3.048,2.4384,32.407955,-82.330166,3586433.465,SW,PESU,A,M,NR,5.44,32,Pd_neg,,No,17.8,0P,GA2210,Recap,2022,-0.61,0.100826446
125,412,Little Hichitee Creek Culvert,3/22/2022,Culvert,Late,3,108.8136,3.048,2.4384,32.2542866,-84.7910126,3574933.588,HC,PESU,A,M,NR,5.1,33.5,Pd_pos,,No,NA,0,GA2171,Recap,2022,-0.58,0.102112676
121,412,Little Hichitee Creek Culvert,3/22/2022,Culvert,Late,3,108.8136,3.048,2.4384,32.2542866,-84.7910126,3574933.588,SW,PESU,A,M,NR,5.36,32.56,Pd_pos,,No,18.1,0,GA2166,Recap,2022,-0.63,0.105175292
37,127,Buck Creek Culvert,2/23/2021,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,HC,PESU,A,M,S/TD,5.31,31.96,Pd_pos,,No,11.1,0,GA0526,Recap,2021,-0.69,0.115
